year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Orio,,"19:42,20",1,3,1,12,1,04:47,09:46,14:52,09:46,14:52
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Donostiarra,,"19:45,90",1,3,2,11,2,04:47,09:44,14:53,09:44,14:53
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Hondarribia,,"19:50,16",1,3,3,10,3,04:49,09:48,14:58,09:48,14:58
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Zierbena,,"19:51,02",1,2,1,9,4,04:55,09:48,15:05,09:48,15:05
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Urdaibai,,"19:58,28",1,2,2,8,5,04:56,09:50,15:10,09:50,15:10
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Itsasoko ama,,"20:12,82",1,3,4,7,6,04:57,10:00,15:12,10:00,15:12
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Getaria,,"20:16,68",1,1,1,6,7,05:11,10:03,15:28,10:03,15:28
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Cabo,,"20:17,90",1,2,3,5,8,05:05,10:06,15:29,10:06,15:29
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Kaiku,,"20:19,66",1,1,2,4,9,05:09,10:00,15:28,10:00,15:28
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Ondarroa,,"20:20,86",1,2,4,3,10,05:00,10:00,15:28,10:00,15:28
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Ares,,"20:23,80",1,1,3,2,11,05:07,10:01,15:30,10:01,15:30
2022,XIII. Bilboko Bandera - Bandera de Bilbao,Isuntza,,"20:24,28",1,1,4,1,12,05:11,10:06,15:32,10:06,15:32
2022,XIV Bandera Fabrika,Donostiarra,,"20:35,57",2,3,1,12,1,05:00,10:10,15:34,10:10,15:34
2022,XIV Bandera Fabrika,Hondarribia,,"20:41,01",1,3,2,11,2,05:02,10:08,15:34,10:08,15:34
2022,XIV Bandera Fabrika,Urdaibai,,"20:47,76",2,2,1,10,3,05:09,10:18,15:42,10:18,15:42
2022,XIV Bandera Fabrika,Orio,,"21:01,11",3,3,3,9,4,05:08,10:21,15:50,10:21,15:50
2022,XIV Bandera Fabrika,Getaria,,"21:06,09",1,2,2,8,5,05:12,10:25,15:56,10:25,15:56
2022,XIV Bandera Fabrika,Kaiku,,"21:14,02",2,1,1,7,6,05:11,10:26,15:57,10:26,15:57
2022,XIV Bandera Fabrika,Isuntza,,"21:15,38",4,1,2,6,7,05:10,10:30,16:02,10:30,16:02
2022,XIV Bandera Fabrika,Cabo,,"21:20,48",3,2,3,5,8,05:14,10:33,16:07,10:33,16:07
2022,XIV Bandera Fabrika,Zierbena,,"21:22,54",4,3,4,4,9,05:13,10:32,16:10,10:32,16:10
2022,XIV Bandera Fabrika,Itsasoko ama,,"21:22,58",4,2,4,3,10,05:15,10:31,16:08,10:31,16:08
2022,XIV Bandera Fabrika,Ares,,"21:32,47",1,1,3,2,11,05:13,10:36,16:08,10:36,16:08
2022,XIV Bandera Fabrika,Ondarroa,,"21:37,37",3,1,4,1,12,05:15,10:35,16:12,10:35,16:12
2022,VI. Bandeira Cidade da CoruñaJ1,Urdaibai,,"20:17,26",1,3,1,12,1,05:08,09:59,15:30,09:59,15:30
2022,VI. Bandeira Cidade da CoruñaJ1,Orio,,"20:24,70",4,3,2,11,2,05:09,10:06,15:38,10:06,15:38
2022,VI. Bandeira Cidade da CoruñaJ1,Hondarribia,,"20:27,90",3,3,3,10,3,05:08,10:05,15:38,10:05,15:38
2022,VI. Bandeira Cidade da CoruñaJ1,Donostiarra,,"20:32,72",2,3,4,9,4,05:07,10:05,15:41,10:05,15:41
2022,VI. Bandeira Cidade da CoruñaJ1,Getaria,,"20:40,62",2,2,1,8,5,05:20,10:13,15:55,10:13,15:55
2022,VI. Bandeira Cidade da CoruñaJ1,Isuntza,,"20:46,80",2,1,1,7,6,05:13,10:11,15:53,10:11,15:53
2022,VI. Bandeira Cidade da CoruñaJ1,Ares,,"20:48,14",3,1,2,6,7,05:14,10:14,15:52,10:14,15:52
2022,VI. Bandeira Cidade da CoruñaJ1,Kaiku,,"20:49,40",1,2,2,5,8,05:19,10:15,15:53,10:15,15:53
2022,VI. Bandeira Cidade da CoruñaJ1,Zierbena,,"20:51,92",4,2,3,4,9,05:20,10:20,16:02,10:20,16:02
2022,VI. Bandeira Cidade da CoruñaJ1,Ondarroa,,"20:52,08",4,1,3,3,10,05:13,10:14,15:56,10:14,15:56
2022,VI. Bandeira Cidade da CoruñaJ1,Itsasoko ama,,"20:52,90",1,1,4,2,11,05:12,10:15,15:53,10:15,15:53
2022,VI. Bandeira Cidade da CoruñaJ1,Cabo,,"21:00,18",3,2,4,1,12,05:22,10:19,16:01,10:19,16:01
2022,VI. Bandeira Cidade da CoruñaJ2,Urdaibai,,"20:10,88",2,3,1,12,1,05:11,09:54,15:27,09:54,15:27
2022,VI. Bandeira Cidade da CoruñaJ2,Donostiarra,,"20:12,70",3,3,2,11,2,05:08,09:55,15:28,09:55,15:28
2022,VI. Bandeira Cidade da CoruñaJ2,Hondarribia,,"20:15,34",4,3,3,10,3,05:12,09:57,15:29,09:57,15:29
2022,VI. Bandeira Cidade da CoruñaJ2,Orio,,"20:24,50",1,3,4,9,4,05:11,10:01,15:40,10:01,15:40
2022,VI. Bandeira Cidade da CoruñaJ2,Kaiku,,"20:25,72",3,2,1,8,5,05:11,10:05,15:36,10:05,15:36
2022,VI. Bandeira Cidade da CoruñaJ2,Getaria,,"20:27,18",1,2,2,7,6,05:11,10:05,15:40,10:05,15:40
2022,VI. Bandeira Cidade da CoruñaJ2,Zierbena,,"20:28,02",4,1,1,6,7,05:06,10:06,15:31,10:06,15:31
2022,VI. Bandeira Cidade da CoruñaJ2,Ondarroa,,"20:32,60",1,1,2,5,8,05:11,10:08,15:41,10:08,15:41
2022,VI. Bandeira Cidade da CoruñaJ2,Itsasoko ama,,"20:38,18",3,1,3,4,9,05:09,10:11,15:43,10:11,15:43
2022,VI. Bandeira Cidade da CoruñaJ2,Ares,,"20:38,50",4,2,3,3,10,05:13,10:12,15:47,10:12,15:47
2022,VI. Bandeira Cidade da CoruñaJ2,Isuntza,,"20:39,70",2,2,4,2,11,05:13,10:07,15:46,10:07,15:46
2022,VI. Bandeira Cidade da CoruñaJ2,Cabo,,"20:50,96",2,1,4,1,12,05:14,10:16,15:49,10:16,15:49
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Hondarribia,,"20:21,84",1,3,1,12,1,04:56,10:02,15:21,10:02,15:21
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Donostiarra,,"20:25,34",2,3,2,11,2,04:56,10:01,15:22,10:01,15:22
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Urdaibai,,"20:33,52",4,3,3,10,3,04:55,10:05,15:27,10:05,15:27
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Orio,,"20:44,78",3,3,4,9,4,05:01,10:12,15:37,10:12,15:37
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Zierbena,,"20:45,30",4,2,1,8,5,04:58,10:11,15:34,10:11,15:34
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Kaiku,,"20:46,14",1,2,2,7,6,05:02,10:13,15:38,10:13,15:38
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Isuntza,,"20:50,88",4,1,1,6,7,05:04,10:16,15:40,10:16,15:40
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Cabo,,"20:54,48",3,1,2,5,8,05:05,10:18,15:42,10:18,15:42
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Ondarroa,,"20:55,40",1,1,3,4,9,05:02,10:12,15:45,10:12,15:45
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Getaria,,"20:59,76",2,2,3,3,10,05:05,10:19,15:47,10:19,15:47
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Itsasoko ama,,"21:10,52",3,2,4,2,11,05:04,10:19,15:49,10:19,15:49
2022,Orioko XXXII. Estropada - Orio Kanpina X. Bandera,Ares,,Descal,2,1,4,0,12,05:03,10:15,15:42,10:15,15:42
2022,XXXIX. Bandera Petronor,Donostiarra,,"19:35,88",1,3,1,12,1,04:57,09:35,14:53,09:35,14:53
2022,XXXIX. Bandera Petronor,Hondarribia,,"19:54,52",2,3,2,11,2,04:57,09:44,15:05,09:44,15:05
2022,XXXIX. Bandera Petronor,Orio,,"19:57,82",3,3,3,10,3,05:00,09:49,15:16,09:49,15:16
2022,XXXIX. Bandera Petronor,Urdaibai,,"20:05,92",4,3,4,9,4,04:58,09:56,15:16,09:56,15:16
2022,XXXIX. Bandera Petronor,Getaria,,"20:09,90",3,1,1,8,5,05:03,09:57,15:20,09:57,15:20
2022,XXXIX. Bandera Petronor,Kaiku,,"20:15,74",2,2,1,7,6,05:07,10:03,15:28,10:03,15:28
2022,XXXIX. Bandera Petronor,Zierbena,,"20:20,98",4,2,2,6,7,05:05,09:59,15:26,09:59,15:26
2022,XXXIX. Bandera Petronor,Isuntza,,"20:22,90",1,2,3,5,8,05:07,09:59,15:28,09:59,15:28
2022,XXXIX. Bandera Petronor,Itsasoko ama,,"20:25,80",1,1,2,4,9,05:05,10:01,15:26,10:01,15:26
2022,XXXIX. Bandera Petronor,Ares,,"20:28,04",2,1,3,3,10,05:08,10:10,15:34,10:10,15:34
2022,XXXIX. Bandera Petronor,Ondarroa,,"20:35,20",3,2,4,2,11,05:09,10:06,15:36,10:06,15:36
2022,XXXIX. Bandera Petronor,Cabo,,"20:51,20",4,1,4,1,12,05:16,10:23,15:53,10:23,15:53
2022,XXI Bandera Ayuntamiento de Sestao,Hondarribia,,"19:28,48",2,3,1,12,1,04:46,09:36,14:43,09:36,14:43
2022,XXI Bandera Ayuntamiento de Sestao,Urdaibai,,"19:29,18",3,3,2,11,2,04:44,09:37,14:41,09:37,14:41
2022,XXI Bandera Ayuntamiento de Sestao,Donostiarra,,"19:45,78",1,3,3,10,3,04:47,09:42,14:52,09:42,14:52
2022,XXI Bandera Ayuntamiento de Sestao,Orio,,"19:56,88",4,3,4,9,4,04:50,09:48,15:02,09:48,15:02
2022,XXI Bandera Ayuntamiento de Sestao,Zierbena,,"19:58,72",1,2,1,8,5,04:48,09:50,15:04,09:50,15:04
2022,XXI Bandera Ayuntamiento de Sestao,Kaiku,,"19:58,74",3,2,2,7,6,04:45,09:51,15:00,09:51,15:00
2022,XXI Bandera Ayuntamiento de Sestao,Cabo,,"19:59,58",2,1,1,6,7,04:46,09:53,14:59,09:53,14:59
2022,XXI Bandera Ayuntamiento de Sestao,Getaria,,"20:00,74",2,2,3,5,8,04:48,09:51,15:04,09:51,15:04
2022,XXI Bandera Ayuntamiento de Sestao,Itsasoko ama,,"20:06,88",1,1,2,4,9,04:49,09:57,15:07,09:57,15:07
2022,XXI Bandera Ayuntamiento de Sestao,Ondarroa,,"20:10,48",4,1,3,3,10,04:49,09:58,15:09,09:58,15:09
2022,XXI Bandera Ayuntamiento de Sestao,Ares,,"20:15,42",3,1,4,2,11,04:47,10:00,15:08,10:00,15:08
2022,XXI Bandera Ayuntamiento de Sestao,Isuntza,,"20:26,18",4,2,4,1,12,04:52,10:02,15:20,10:02,15:20
2022,Santurtziko XLIII. Ikurriña,Hondarribia,,"20:01,61",3,3,1,12,1,02:32,05:49,10:15,05:49,10:15
2022,Santurtziko XLIII. Ikurriña,Urdaibai,,"20:08,67",1,3,2,11,2,02:34,05:55,10:16,05:55,10:16
2022,Santurtziko XLIII. Ikurriña,Donostiarra,,"20:13,85",4,3,3,10,3,02:34,05:51,10:22,05:51,10:22
2022,Santurtziko XLIII. Ikurriña,Orio,,"20:14,69",2,3,4,9,4,02:32,05:59,10:22,05:59,10:22
2022,Santurtziko XLIII. Ikurriña,Ares,,"20:20,22",4,1,1,8,5,02:38,05:57,10:23,05:57,10:23
2022,Santurtziko XLIII. Ikurriña,Kaiku,,"20:24,66",4,2,1,7,6,02:37,05:54,10:26,05:54,10:26
2022,Santurtziko XLIII. Ikurriña,Itsasoko ama,,"20:28,82",3,1,2,6,7,02:39,05:59,10:26,05:59,10:26
2022,Santurtziko XLIII. Ikurriña,Ondarroa,,"20:30,28",1,1,3,5,8,02:38,05:57,10:27,05:57,10:27
2022,Santurtziko XLIII. Ikurriña,Cabo,,"20:30,42",3,2,2,4,9,02:38,05:57,10:31,05:57,10:31
2022,Santurtziko XLIII. Ikurriña,Zierbena,,"20:31,08",2,2,3,3,10,02:37,06:00,10:30,06:00,10:30
2022,Santurtziko XLIII. Ikurriña,Getaria,,"20:31,64",1,2,4,2,11,02:38,06:00,10:28,06:00,10:28
2022,Santurtziko XLIII. Ikurriña,Isuntza,,"20:35,86",2,1,4,1,12,02:38,05:59,10:31,05:59,10:31
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Donostiarra,,"19:51,30",3,3,1,12,1,05:01,09:46,15:06,09:46,15:06
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Hondarribia,,"19:53,00",4,3,2,11,2,05:01,09:49,15:11,09:49,15:11
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Urdaibai,,"20:07,78",1,3,3,10,3,05:06,09:51,15:18,09:51,15:18
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Orio,,"20:17,62",2,3,4,9,4,05:03,09:54,15:24,09:54,15:24
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Kaiku,,"20:17,92",3,2,1,8,5,05:04,10:00,15:26,10:00,15:26
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Cabo,,"20:21,96",3,1,1,7,6,05:08,10:04,15:31,10:04,15:31
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Getaria,,"20:29,88",2,2,2,6,7,05:10,10:08,15:39,10:08,15:39
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Zierbena,,"20:30,52",4,2,3,5,8,05:10,10:09,15:38,10:09,15:38
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Ondarroa,,"20:31,48",2,1,2,4,9,05:10,10:02,15:42,10:02,15:42
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Isuntza,,"20:32,64",4,1,3,3,10,05:11,10:09,15:42,10:09,15:42
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Ares,,"20:33,60",1,1,4,2,11,05:12,10:09,15:44,10:09,15:44
2022,Getxoko Estropaden XLIV Ikurriña - J.A. Agirre Lehendakariaren XVIII. Omenaldia,Itsasoko ama,,"20:39,90",1,2,4,1,12,05:12,10:11,15:44,10:11,15:44
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Hondarribia,,"20:33,00",1,3,1,12,1,04:52,10:06,15:17,10:06,15:17
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Urdaibai,,"20:33,12",4,3,2,11,2,04:52,10:12,15:21,10:12,15:21
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Donostiarra,,"20:43,50",2,3,3,10,3,04:52,10:14,15:29,10:14,15:29
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Orio,,"20:55,64",3,3,4,9,4,04:59,10:22,15:35,10:22,15:35
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Getaria,,"21:04,46",3,2,1,8,5,04:56,10:22,15:39,10:22,15:39
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Isuntza,,"21:08,08",4,1,1,7,6,04:56,10:23,15:42,10:23,15:42
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Cabo,,"21:15,94",2,2,2,6,7,05:03,10:39,15:58,10:39,15:58
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Ondarroa,,"21:17,64",3,1,2,5,8,04:58,10:29,15:49,10:29,15:49
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Zierbena,,"21:20,26",4,2,3,4,9,05:00,10:32,15:52,10:32,15:52
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Ares,,"21:21,04",2,1,3,3,10,05:02,10:33,15:54,10:33,15:54
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Kaiku,,"21:34,24",1,2,4,2,11,05:01,10:42,16:02,10:42,16:02
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Itsasoko ama,,"21:38,88",1,1,4,1,12,05:03,10:40,16:08,10:40,16:08
2022,Hondarribiko XXXV. Bandera Mapfre SN,Urdaibai,,"19:46,04",4,3,1,12,1,04:46,09:43,14:49,09:43,14:49
2022,Hondarribiko XXXV. Bandera Mapfre SN,Hondarribia,,"19:53,70",3,3,2,11,2,04:49,09:49,14:56,09:49,14:56
