year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Lapurdi,,"22:03,85",2,2,1,9,1,3:45,11:14,18:44,11:14,18:44
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Mutriku,,"22:19,27",1,3,1,8,2,3:49,11:22,19:00,11:22,19:00
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Portugalete,,"22:33,76",1,2,2,7,3,3:49,11:22,19:06,11:22,19:06
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Astillero,,"22:52,64",2,3,2,6,4,3:48,11:28,19:23,11:28,19:23
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Hibaika,,"22:56,95",1,1,1,5,5,4:01,11:41,19:28,11:41,19:28
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Donostiarra,,"23:39,35",2,1,2,4,6,3:57,12:16,20:07,12:16,20:07
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Santoña,,"24:03,98",3,1,3,3,7,4:09,12:11,20:22,12:11,20:22
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Castro,,"24:23,93",3,3,3,2,8,3:57,12:10,20:33,12:10,20:33
2022,DONIBANE LOHIZUNE ZIBURUKO XXX. IKURRIÑA,Trintxerpe,,"25:25,33",3,2,3,1,9,4:13,12:41,21:27,12:41,21:27
2022,YURRITA GROUP VI BANDERA MUTRIKU,Lapurdi,,"21:52,87",3,3,1,9,1,5:05,10:43,16:12,10:43,16:12
2022,YURRITA GROUP VI BANDERA MUTRIKU,Astillero,,"22:11,29",3,2,1,8,2,5:14,10:57,16:35,10:57,16:35
2022,YURRITA GROUP VI BANDERA MUTRIKU,Donostiarra,,"22:12,12",1,2,2,7,3,5:10,10:48,16:28,10:48,16:28
2022,YURRITA GROUP VI BANDERA MUTRIKU,Hibaika,,"22:20,92",2,2,3,6,4,5:16,10:58,16:36,10:58,16:36
2022,YURRITA GROUP VI BANDERA MUTRIKU,Portugalete,,"22:35,28",1,3,2,5,5,5:13,11:03,16:43,11:03,16:43
2022,YURRITA GROUP VI BANDERA MUTRIKU,Mutriku,,"22:36,03",2,3,3,4,6,5:13,11:04,16:47,11:04,16:47
2022,YURRITA GROUP VI BANDERA MUTRIKU,Santoña,,"22:56,79",2,1,1,3,7,5:21,11:09,17:02,11:09,17:02
2022,YURRITA GROUP VI BANDERA MUTRIKU,Castro,,"23:50,54",1,1,2,2,8,5:23,11:26,17:39,11:26,17:39
2022,YURRITA GROUP VI BANDERA MUTRIKU,Trintxerpe,,"24:23,12",3,1,3,1,9,5:39,12:00,18:14,12:00,18:14
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Lapurdi,,"22:15,34",3,3,1,9,1,5:43,11:00,17:04,11:00,17:04
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Hibaika,,"22:41,30",1,2,1,8,2,5:41,11:08,17:15,11:08,17:15
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Donostiarra,,"22:56,63",3,2,2,7,3,5:44,11:13,17:29,11:13,17:29
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Mutriku,,"22:57,09",2,2,3,6,4,5:47,11:18,17:22,11:18,17:22
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Castro,,"23:15,25",3,1,1,5,5,5:52,11:23,17:42,11:23,17:42
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Portugalete,,"23:20,62",2,3,2,4,6,5:59,11:29,17:51,11:29,17:51
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Santoña,,"23:29,08",1,1,2,3,7,5:45,11:24,17:47,11:24,17:47
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Astillero,,"23:59,51",1,3,3,2,8,5:56,12:08,18:33,12:08,18:33
2022,XII BANDERA DONOSTIARRA-UR KIROLAK 100,Trintxerpe,,"25:05,73",2,1,3,1,9,6:04,12:07,19:00,12:07,19:00
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Lapurdi,,"20:54,31",1,3,1,9,1,5:11,10:13,15:54,10:13,15:54
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Donostiarra,,"21:04,10",2,3,2,8,2,5:10,10:15,16:01,10:15,16:01
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Portugalete,,"21:11,02",1,2,1,7,3,5:05,10:19,16:02,10:19,16:02
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Astillero,,"21:34,61",2,2,2,6,4,5:12,10:30,16:18,10:30,16:18
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Hibaika,,"21:35,78",3,3,3,5,5,5:21,10:35,16:29,10:35,16:29
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Mutriku,,"21:48,44",3,2,3,4,6,5:18,10:41,16:31,10:41,16:31
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Santoña,,"22:06,06",2,1,1,3,7,5:19,10:50,16:37,10:50,16:37
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Castro,,"22:32,87",3,1,2,2,8,5:22,10:58,16:54,10:58,16:54
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Trintxerpe,,"23:01,22",1,1,3,1,9,5:30,11:10,17:17,11:10,17:17
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Lapurdi,,"21:19,81",3,3,1,9,1,5:30,10:29,16:25,10:29,16:25
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Donostiarra,,"21:23,72",1,3,2,8,2,5:28,10:26,16:26,10:26,16:26
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Hibaika,,"21:28,62",1,2,1,7,3,5:32,10:27,16:30,10:27,16:30
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Mutriku,,"21:38,88",3,2,2,6,4,5:41,10:35,16:40,10:35,16:40
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Portugalete,,"21:44,04",2,3,3,5,5,5:33,10:38,16:46,10:38,16:46
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Santoña,,"22:01,17",1,1,1,4,6,5:42,10:48,17:03,10:48,17:03
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Castro,,"22:04,93",2,1,2,3,7,5:46,10:47,17:03,10:47,17:03
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Astillero,,"22:09,22",2,2,3,2,8,5:45,10:46,17:07,10:46,17:07
2022,PORTUGALETEKO URI URENA XL. BANDERA / XL BANDERA NOBLE VILLA DE PORTUGALETE,Trintxerpe,,"22:44,06",3,1,3,1,9,5:41,10:54,17:25,10:54,17:25
2022,XXXVII BANDERA DE PASAIA,Lapurdi,,"21:05,13",5,2,1,9,1,2:19,7:50,12:55,7:50,12:55
2022,XXXVII BANDERA DE PASAIA,Donostiarra,,"21:06,30",4,2,2,8,2,2:19,7:50,12:55,7:50,12:55
2022,XXXVII BANDERA DE PASAIA,Mutriku,,"21:21,41",2,2,3,7,3,2:20,7:54,13:02,7:54,13:02
2022,XXXVII BANDERA DE PASAIA,Portugalete,,"21:22,40",1,2,4,6,4,2:19,7:55,13:05,7:55,13:05
