year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga
2022,I. HERNANIKO BANDERA,Hondarribia,,"11:21,62",3,1,1,9,1,03:38,,
2022,I. HERNANIKO BANDERA,Deustu,,"11:30,97",3,3,1,8,2,03:44,,
2022,I. HERNANIKO BANDERA,Hibaika,,"11:31,62",3,2,1,7,3,03:44,,
2022,I. HERNANIKO BANDERA,Ondarroa,,"11:41,61",4,2,2,6,4,03:44,,
2022,I. HERNANIKO BANDERA,Hernani,,"11:53,06",4,1,2,5,5,03:46,,
2022,I. HERNANIKO BANDERA,Zarautz,,"11:56,97",4,3,2,4,6,03:55,,
2022,I. HERNANIKO BANDERA,Zumaia,,"12:02,33",2,2,3,3,7,03:49,,
2022,I. HERNANIKO BANDERA,Castro,,"12:11,37",2,1,3,2,8,03:55,,
2022,I. HERNANIKO BANDERA,Portugalete,,"13:13,00",2,3,3,1,9,04:15,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Zumaia,,"11:50,56",2,1,1,9,1,3:37,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Hibaika,,"11:54,79",2,3,1,8,2,3:23,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Deustu,,"11:57,75",1,3,2,7,3,3:24,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Hondarribia,,"12:02,76",3,3,3,6,4,3:26,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Ondarroa,,"12:03,05",2,2,1,5,5,3:27,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Zarautz,,"12:12,39",1,2,2,4,6,3:29,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Hernani,,"12:14,62",3,2,3,3,7,3:34,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Castro,,"13:10,40",3,1,2,2,8,4:00,,
2022,DONIBANE LOHIZUNE ZIBURUKO V. IKURRIÑA,Portugalete,,"13:24,73",1,1,3,1,9,4:10,,
2022,ZUMAIAKO V. IKURRIÑA,Hondarribia,,"12:23,54",2,2,1,9,1,06:38,,
2022,ZUMAIAKO V. IKURRIÑA,Hibaika,,"12:26,74",3,2,2,8,2,06:38,,
2022,ZUMAIAKO V. IKURRIÑA,Zumaia,,"12:30,75",1,2,3,7,3,06:36,,
