year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,IV. Bilboko Bandera - Bandera de Bilbao,Donostia A.L.,,"10:39,28",4,1,1,4,1,05:35,,,,
2022,IV. Bilboko Bandera - Bandera de Bilbao,Orio,,"10:44,28",3,1,2,3,2,05:38,,,,
2022,IV. Bilboko Bandera - Bandera de Bilbao,Donostiarra,,"10:50,74",2,1,3,2,3,05:39,,,,
2022,IV. Bilboko Bandera - Bandera de Bilbao,Tolosaldea,,"10:59,36",1,1,4,1,4,05:47,,,,
2022,VI Bandera Fabrika,Orio,,"11:17,54",4,1,1,4,1,05:39,,,,
2022,VI Bandera Fabrika,Donostia A.L.,,"11:22,12",2,1,2,3,2,05:39,,,,
2022,VI Bandera Fabrika,Donostiarra,,"11:47,90",3,1,3,2,3,05:53,,,,
2022,VI Bandera Fabrika,Tolosaldea,,"11:48,60",1,1,4,1,4,05:55,,,,
2022,V. Bandeira Cidade da CoruñaJ1J1,Orio,,"11:00,26",4,1,1,4,1,05:39,,,,
2022,V. Bandeira Cidade da CoruñaJ1J1,Donostia A.L.,,"11:07,34",2,1,2,3,2,05:48,,,,
2022,V. Bandeira Cidade da CoruñaJ1J1,Donostiarra,,"11:11,86",1,1,3,2,3,05:50,,,,
2022,V. Bandeira Cidade da CoruñaJ1J1,Tolosaldea,,"11:15,16",3,1,4,1,4,05:52,,,,
2022,V. Bandeira Cidade da CoruñaJ2J2,Donostia A.L.,,"10:56,50",2,1,1,4,1,05:45,,,,
2022,V. Bandeira Cidade da CoruñaJ2J2,Orio,,"10:58,22",3,1,2,3,2,05:45,,,,
2022,V. Bandeira Cidade da CoruñaJ2J2,Tolosaldea,,"11:06,02",4,1,3,2,3,05:50,,,,
2022,V. Bandeira Cidade da CoruñaJ2J2,Donostiarra,,"11:11,18",1,1,4,1,4,05:52,,,,
2022,Orioko XXII. Emakumezkoen Estropada - ORIO Kanpina X. Bandera,Orio,,"11:00,32",3,1,1,4,1,05:23,,,,
2022,Orioko XXII. Emakumezkoen Estropada - ORIO Kanpina X. Bandera,Donostia A.L.,,"11:10,16",2,1,2,3,2,05:30,,,,
2022,Orioko XXII. Emakumezkoen Estropada - ORIO Kanpina X. Bandera,Donostiarra,,"11:21,50",4,1,3,2,3,05:33,,,,
2022,Orioko XXII. Emakumezkoen Estropada - ORIO Kanpina X. Bandera,Tolosaldea,,"11:30,26",1,1,4,1,4,05:44,,,,
2022,II. Bandera Edinor,Orio,,"10:38,38",1,1,1,4,1,05:28,,,,
2022,II. Bandera Edinor,Donostia A.L.,,"10:45,32",3,1,2,3,2,05:33,,,,
2022,II. Bandera Edinor,Donostiarra,,"10:46,78",4,1,3,2,3,05:36,,,,
2022,II. Bandera Edinor,Tolosaldea,,"10:57,04",2,1,4,1,4,05:38,,,,
2022,Getxoko Estropaden XIV Ikurriña - JA Agirre Lehendakariaren XVIII. Omenaldia,Orio,,"10:52,56",1,1,1,4,1,05:44,,,,
2022,Getxoko Estropaden XIV Ikurriña - JA Agirre Lehendakariaren XVIII. Omenaldia,Donostia A.L.,,"10:54,90",3,1,2,3,2,05:44,,,,
2022,Getxoko Estropaden XIV Ikurriña - JA Agirre Lehendakariaren XVIII. Omenaldia,Tolosaldea,,"11:05,76",4,1,3,2,3,05:52,,,,
2022,Getxoko Estropaden XIV Ikurriña - JA Agirre Lehendakariaren XVIII. Omenaldia,Donostiarra,,"11:07,00",2,1,4,1,4,05:54,,,,
2022,XI. Euskotren Bandera,Orio,,"11:12,88",4,1,1,4,1,05:20,,,,
2022,XI. Euskotren Bandera,Donostia A.L.,,"11:22,28",2,1,2,3,2,05:30,,,,
2022,XI. Euskotren Bandera,Tolosaldea,,"11:30,12",3,1,3,2,3,05:35,,,,
2022,XI. Euskotren Bandera,Donostiarra,,"11:39,26",1,1,4,1,4,05:35,,,,
2022,Nesken Ondoan Bandera,Orio,,"10:41,32",1,1,1,4,1,05:23,,,,
2022,Nesken Ondoan Bandera,Donostia A.L.,,"10:46,46",3,1,2,3,2,05:21,,,,
2022,Nesken Ondoan Bandera,Tolosaldea,,"10:52,82",4,1,3,2,3,05:30,,,,
2022,Nesken Ondoan Bandera,Donostiarra,,"10:59,22",2,1,4,1,4,05:28,,,,
2022,Getariako Ikurriña - 500. Urteurrena Saria,Orio,,"11:04,24",1,1,1,4,1,05:10,,,,
2022,Getariako Ikurriña - 500. Urteurrena Saria,Donostia A.L.,,"11:14,00",2,1,2,3,2,05:11,,,,
2022,Getariako Ikurriña - 500. Urteurrena Saria,Donostiarra,,"11:15,68",3,1,3,2,3,05:16,,,,
2022,Getariako Ikurriña - 500. Urteurrena Saria,Tolosaldea,,"11:16,46",4,1,4,1,4,05:16,,,,
2022,IV Ondarroako Bandera Cikautxo SN,Orio,,"10:38,24",4,1,1,4,1,05:21,,,,
2022,IV Ondarroako Bandera Cikautxo SN,Donostia A.L.,,"10:41,48",3,1,2,3,2,05:22,,,,
2022,IV Ondarroako Bandera Cikautxo SN,Donostiarra,,"10:44,06",1,1,3,2,3,05:24,,,,
2022,IV Ondarroako Bandera Cikautxo SN,Tolosaldea,,"10:49,18",2,1,4,1,4,05:27,,,,
2022,VII Bandera CaixaBank,Orio,,"11:09,46",1,1,1,4,1,05:34,,,,
2022,VII Bandera CaixaBank,Donostia A.L.,,"11:09,60",3,1,2,3,2,05:34,,,,
2022,VII Bandera CaixaBank,Tolosaldea,,"11:20,90",4,1,3,2,3,05:41,,,,
2022,VII Bandera CaixaBank,Donostiarra,,"11:23,44",2,1,4,1,4,05:40,,,,
2022,XIV Zarauzko IkurriñaJ1J1,Orio,,"11:21,62",1,1,1,4,1,05:46,,,,
2022,XIV Zarauzko IkurriñaJ1J1,Donostia A.L.,,"11:32,58",2,1,2,3,2,05:51,,,,
2022,XIV Zarauzko IkurriñaJ1J1,Tolosaldea,,"11:37,82",4,1,3,2,3,05:55,,,,
2022,XIV Zarauzko IkurriñaJ1J1,Donostiarra,,"11:41,76",3,1,4,1,4,05:59,,,,
2022,XIV Zarauzko IkurriñaJ2J2,Orio,,"10:56,22",4,1,1,4,1,05:32,,,,
2022,XIV Zarauzko IkurriñaJ2J2,Donostiarra,,"11:04,08",1,1,2,3,2,05:40,,,,
2022,XIV Zarauzko IkurriñaJ2J2,Donostia A.L.,,"11:09,36",3,1,3,2,3,05:38,,,,
2022,XIV Zarauzko IkurriñaJ2J2,Tolosaldea,,"11:10,26",2,1,4,1,4,05:43,,,,
