year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga
2022,Batel ligako 1. Jardunaldia,"ORIO ""A""",IG,"05:30,99",3,1,1,16,1,02:32,,
2022,Batel ligako 1. Jardunaldia,"ZUMAIA ""A""",IN,"05:46,71",2,1,1,18,1,02:59,,
2022,Batel ligako 1. Jardunaldia,SAN JUAN,PG,"07:34,76",2,1,1,15,1,02:13,05:10,
2022,Batel ligako 1. Jardunaldia,"ORIO ""A""",PN,"07:54,36",1,1,1,16,1,02:17,,
2022,Batel ligako 1. Jardunaldia,TOLOSALDEA,JG,"10:08,32",2,1,1,12,1,02:34,04:55,07:51
2022,Batel ligako 1. Jardunaldia,SAN JUAN,JN,"10:41,25",2,1,1,10,1,02:47,05:13,08:15
2022,Batel ligako 1. Jardunaldia,DONOSTIARRA,SG,"09:24,25",2,1,1,7,1,02:20,04:34,07:12
2022,Batel ligako 1. Jardunaldia,HIBAIKA,SN,"10:57,30",3,1,1,4,1,02:49,05:23,08:25
2022,Batel ligako 1. Jardunaldia,"SAN PEDRO ""A""",IG,"05:33,26",2,1,2,15,2,02:58,,
2022,Batel ligako 1. Jardunaldia,"ZUMAIA ""B""",IN,"05:51,28",2,1,2,17,2,02:57,,
2022,Batel ligako 1. Jardunaldia,HERNANI,PG,"07:43,80",1,1,2,14,2,02:16,05:17,
2022,Batel ligako 1. Jardunaldia,"TOLOSALDEA ""A""",PN,"07:54,79",2,1,2,15,2,02:17,,
2022,Batel ligako 1. Jardunaldia,"SAN JUAN ""A""",JG,"10:15,78",1,1,2,11,2,02:41,05:05,07:58
2022,Batel ligako 1. Jardunaldia,HIBAIKA,JN,"10:47,44",3,1,2,9,2,02:47,05:17,08:21
2022,Batel ligako 1. Jardunaldia,"ZARAUTZ ""A""",SG,"09:55,42",1,1,2,6,2,02:31,04:53,07:39
2022,Batel ligako 1. Jardunaldia,"GETARIA ""A""",IG,"05:39,43",3,1,3,14,3,02:35,,
2022,Batel ligako 1. Jardunaldia,"HIBAIKA ""A""",IN,"05:59,14",3,1,3,16,3,03:02,,
2022,Batel ligako 1. Jardunaldia,"TOLOSALDEA ""A""",PG,"07:45,33",2,1,3,13,3,02:20,05:21,
2022,Batel ligako 1. Jardunaldia,"HIBAIKA ""A""",PN,"07:59,06",2,1,3,14,3,02:16,,
2022,Batel ligako 1. Jardunaldia,"ZUMAIA ""A""",JG,"10:27,72",1,1,3,10,3,02:44,05:07,08:06
2022,Batel ligako 1. Jardunaldia,"TOLOSALDEA ""A""",JN,"10:57,94",1,1,3,8,3,02:46,05:18,08:26
2022,Batel ligako 1. Jardunaldia,"SAN JUAN ""A""",SG,"10:12,21",3,1,3,5,3,02:32,04:57,07:49
2022,Batel ligako 1. Jardunaldia,HERNANI,SN,"11:18,89",2,1,2,3,2,02:51,05:28,08:42
2022,Batel ligako 1. Jardunaldia,"SAN JUAN ""A""",IG,"05:42,32",2,1,4,13,4,02:41,,
2022,Batel ligako 1. Jardunaldia,"ORIO ""A""",IN,"06:00,32",2,1,4,15,4,03:08,,
2022,Batel ligako 1. Jardunaldia,"ORIO ""A""",PG,"07:52,28",3,1,4,12,4,02:21,05:25,
2022,Batel ligako 1. Jardunaldia,"HERNANI ""A""",PN,"07:59,54",1,1,4,13,4,02:23,,
2022,Batel ligako 1. Jardunaldia,"SAN JUAN ""C""",JG,"10:40,92",1,1,4,9,4,02:46,05:11,08:14
2022,Batel ligako 1. Jardunaldia,UR JOKO,JN,"11:06,72",1,1,4,7,4,02:54,05:28,08:38
2022,Batel ligako 1. Jardunaldia,"SAN PEDRO ""B""",IG,"05:52,41",1,1,5,12,5,02:48,,
2022,Batel ligako 1. Jardunaldia,HERNANI,IN,"06:03,62",1,1,5,14,5,03:03,,
2022,Batel ligako 1. Jardunaldia,"ZUMAIA ""A""",PG,"08:10,03",3,1,5,11,5,02:20,05:33,
2022,Batel ligako 1. Jardunaldia,"ZUMAIA ""A""",PN,"08:09,88",3,1,5,12,5,02:25,,
2022,Batel ligako 1. Jardunaldia,SAN PEDRO,JG,"11:05,06",3,1,5,8,5,02:53,05:25,08:33
2022,Batel ligako 1. Jardunaldia,HERNANI,JN,"11:11,11",2,1,5,6,5,02:53,05:28,08:41
2022,Batel ligako 1. Jardunaldia,HIBAIKA,IG,"06:19,51",1,1,6,11,6,02:55,,
2022,Batel ligako 1. Jardunaldia,"TOLOSALDEA ""A""",IN,"06:10,83",3,1,6,13,6,03:13,,
2022,Batel ligako 1. Jardunaldia,ZARAUTZ,PG,"08:16,23",2,1,6,10,6,02:29,05:43,
2022,Batel ligako 1. Jardunaldia,"HERNANI ""B""",PN,"08:17,93",1,1,6,11,6,02:21,,
2022,Batel ligako 1. Jardunaldia,"HIBAIKA ""A""",JG,D N S,2,1,6,0,6,,,
2022,Batel ligako 1. Jardunaldia,"MUTRIKU ""A""",JN,"11:23,34",1,1,6,5,6,02:52,05:31,08:50
